QuestionId,QuestionType,QuestionText,CorrectAnswer,CourseId_FK
1,mcq,What is a key feature of ASP.NET?,Interactive learning,90
2,mcq,What is a key feature of ASP.NET?,Interactive learning,90
3,mcq,What is a key feature of ASP.NET?,Interactive learning,90
4,mcq,What is a key feature of SQL Server?,Interactive learning,91
5,mcq,What is a key feature of SQL Server?,Interactive learning,91
6,mcq,What is a key feature of SQL Server?,Interactive learning,91
7,mcq,What is a key feature of Python Programming?,Interactive learning,92
8,mcq,What is a key feature of Python Programming?,Interactive learning,92
9,mcq,What is a key feature of Python Programming?,Interactive learning,92
10,mcq,What is a key feature of Java Fundamentals?,Interactive learning,93
11,mcq,What is a key feature of Java Fundamentals?,Interactive learning,93
12,mcq,What is a key feature of Java Fundamentals?,Interactive learning,93
13,mcq,What is a key feature of Network Security?,Interactive learning,94
14,mcq,What is a key feature of Network Security?,Interactive learning,94
15,mcq,What is a key feature of Network Security?,Interactive learning,94
16,mcq,What is a key feature of Web Design?,Interactive learning,95
17,mcq,What is a key feature of Web Design?,Interactive learning,95
18,mcq,What is a key feature of Web Design?,Interactive learning,95
19,mcq,What is a key feature of Data Mining?,Interactive learning,96
20,mcq,What is a key feature of Data Mining?,Interactive learning,96
21,mcq,What is a key feature of Data Mining?,Interactive learning,96
22,mcq,What is a key feature of Machine Learning?,Interactive learning,97
23,mcq,What is a key feature of Machine Learning?,Interactive learning,97
24,mcq,What is a key feature of Machine Learning?,Interactive learning,97
25,mcq,What is a key feature of Software Engineering?,Interactive learning,98
26,mcq,What is a key feature of Software Engineering?,Interactive learning,98
27,mcq,What is a key feature of Software Engineering?,Interactive learning,98
28,mcq,What is a key feature of Cloud Computing?,Interactive learning,99
29,mcq,What is a key feature of Cloud Computing?,Interactive learning,99
30,mcq,What is a key feature of Cloud Computing?,Interactive learning,99
